"Decomposers_C";"Decomposers_N";"Decomposers_P";"Fixers_C";"Fixers_N";"Fixers_P";"Non_fixers_C";"Non_fixers_N";"Non_fixers_P";"Detritus_C";"Detritus_N";"Detritus_P";"Nitrogen";"Phosphorous";"NP_threshold";"CP_threshold";"CN_threshold";"Limitation_Decompo";"NP_threshold_NF";"Limitation_NF";"indirect_B_on_F";"indirect_F_on_B";"indirect_O_on_F";"indirect_F_on_O";"indirect_B_on_O";"indirect_O_on_B";"Type";"CN_seston";"CP_seston";"NP_seston";"CN_total";"CP_total";"NP_total";"C_seston";"N_seston";"P_seston";"C_organic";"N_organic";"P_organic";"NP_dissoluted";"NC_detritus";"PC_detritus";"Frac_decomp";"Inflow";"phi_P";"phi_N";"phi_D";"gO_NP";"gF_P";"Fraction_prod_decompo";"Fraction_prod_NF";"Fraction_prod_F";"Total_production";"IN";"IP";"ID";"beta_A";"alpha_A";"Simulation_ID";"converged_";"kP";"kN";"muF";"muO";"dF";"dO";"beta_F";"beta_O";"alpha_F";"alpha_O";"eB";"aN";"aP";"aD";"m";"dB";"alpha_B";"beta_B";"IN";"IP";"ID";"lN";"lP";"lD";"beta_allo";"alpha_allo";"same_stoichio";"functional_response_phyto";"DC_";"sB";"sF";"sO"
"4000110";2.59684070866457;0.389526106299689;0.0389526106299671;9.74738609525703;1.21842326190713;0.0761514538691955;2.28574303412634;0.285717879265792;0.017857367454112;12.7169236628737;0.386008431481432;0.0334154620561763;1.71429721359306;4.8947442063462;0.350232237135174;2.22331785194611;6.13891019929625;"N";0.350232237135174;"N";-0.00583556522528549;0.0127663610803624;-0.0048379345115386;-0.000588945261583184;-0.0129713531324968;-0.0441546263072554;"A_to_I";11.9959579133945;164.367135615407;13.7018766489567;6.84704033719206;5.40332723889969;0.78914786138321;27.3468935009217;2.27967567895404;0.166376894009451;14.6299698380479;1.89366724747261;0.132961431953275;0.350232237135174;0.0303539159087948;0.00262763722909894;0.177501439675631;"IN";1.84138914046517;1.78070271640348;2.2324625957412;0.979610728598132;11.4506307880269;0.12530502457851;0.0689335425243143;0.805761432897176;14.2109442330285;1.90909090909091;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.90909090909091;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000111";2.91164139489928;0.436746209234928;0.0436746209234852;9.74081171607551;1.21760146450944;0.0761000915318399;2.43404214968427;0.304255268710533;0.0190159542944083;12.5656922747441;0.384340796719921;0.0332612030574876;1.77361685973923;4.8920048816733;0.362554188444016;2.19467057983905;5.85162939827948;"N";0.362554188444016;"N";-0.00640934132753189;0.0147984813637047;-0.00477016563969999;-0.000710058684396857;-0.0152847566161275;-0.0501174268257787;"A_to_I";11.8023267366813;160.720064050374;13.6176592663597;6.71730364972589;5.46048136749628;0.812897801295481;27.6521875354031;2.34294373917482;0.172051869807221;15.0864952606591;1.9586029424549;0.138790666749733;0.362554188444016;0.0305865198921361;0.00264698532561869;0.192996540587657;"IN";2.13686598985001;2.0656545070032;2.5947504064918;1.07926454849898;11.4365036319604;0.141663440617443;0.0740164092099842;0.784320150172572;14.5814226874626;2;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000112";3.21817752182998;0.482726628274569;0.048272662827451;9.73382858081355;1.21672857260169;0.0760455357876058;2.57792721558186;0.322240901947733;0.0201400563717333;12.4087979021968;0.382331289608397;0.0330781895331822;1.83117088591111;4.88909524194763;0.374541872328435;2.16527173030353;5.58640911985735;"N";0.374541872328435;"N";-0.00694719142024807;0.0168752895303989;-0.00470275865293521;-0.000837594800177331;-0.0176447518374889;-0.0560111297402504;"A_to_I";11.6216359715243;157.368991453916;13.5410360330943;6.59679414852562;5.51426133757528;0.835900168085087;27.9387312204222;2.40402739243239;0.177536444519972;15.5299333182254;2.021696102824;0.14445825498679;0.374541872328435;0.0308113076400987;0.00266570459071835;0.207224168699632;"IN";2.43937266994173;2.35721319346744;2.96657318760108;1.18015631579285;11.4215076000935;0.157579554684187;0.0788933759643563;0.763527069351457;14.9588771093537;2.09090909090909;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.09090909090909;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000113";3.51711043853106;0.527566565779743;0.0527566565779648;9.72646891444875;1.21580861430609;0.0759880383941309;2.71775399156784;0.33971924894598;0.0212324530591237;12.2466414264429;0.380000004082081;0.0328681007358714;1.88710159612047;4.88602871426425;0.386224008592352;2.13517237054163;5.34023029766091;"N";0.386224008592352;"N";-0.00745290176491927;0.0189931166674316;-0.00463588524054124;-0.000971005161016572;-0.0200410309016228;-0.0618334283141959;"A_to_I";11.4522506290307;154.27239680109;13.4709239081809;6.48429969165209;5.56493907260644;0.858217438618817;28.2079747709906;2.4630944331139;0.182845248767091;15.9613333445476;2.08309442903182;0.149977148031219;0.386224008592352;0.0310289156716539;0.00268384609227659;0.220351919392279;"IN";2.74836852564541;2.65485788891357;3.34727287378479;1.28216947383761;11.4057135370548;0.173036741365237;0.0835684759464211;0.743394782688342;15.342740899806;2.18181818181818;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.18181818181818;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000114";3.80901751326134;0.571352626989263;0.0571352626989221;9.71876086477102;1.21484510809638;0.0759278192560236;2.85383298025288;0.356729122531611;0.0222955701582257;12.0795743049665;0.377364682392403;0.0326324187505112;1.94153319175832;4.88281702692868;0.397625629027422;2.10441690820891;5.11062734525586;"N";0.397625629027422;"N";-0.00792965329684514;0.0211486876678602;-0.00456970559196074;-0.00110979776038677;-0.0224651013059111;-0.0675828563277532;"A_to_I";11.2928148237734;151.396476079918;13.4064428083246;6.37882197850792;5.6127514814932;0.879904079531326;28.4611856632518;2.52029154000965;0.187991070863683;16.3816113582852;2.14292685761725;0.155358652113171;0.397625629027422;0.0312398990945608;0.00270145436640879;0.23251787812283;"IN";3.06338075229467;2.95813357199426;3.73627196689942;1.38520286372389;11.3891834474765;0.188026685741177;0.0880471071391146;0.723926207119708;15.7325198831946;2.27272727272727;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.27272727272727;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000115";4.09440633495407;0.614160950243196;0.0614160950243095;9.71072919174891;1.21384114896861;0.0758650718105384;2.98643709606456;0.37330463700807;0.0233315398130044;11.9079068883232;0.374441114110547;0.0323724622960981;1.99457483831332;4.87947049654299;0.408768705482786;2.07304421555338;4.89556412548279;"N";0.408768705482786;"N";-0.00838023654907505;0.023339134341653;-0.00450430048891421;-0.00125354621001445;-0.0249101097728777;-0.0732588123594612;"A_to_I";11.142192939192;148.713394237181;13.3468694222742;6.27953023588523;5.65790642713004;0.901007912151956;28.6994795110907;2.57574785033043;0.19298516894395;16.7915726227675;2.20130673621988;0.160612706647852;0.408768705482786;0.0314447465555615;0.00271856864516151;0.243836978640256;"IN";3.38399295145764;3.26663994141203;4.13306012998777;1.48916807200397;11.3719719818538;0.202547402207254;0.0923355894264887;0.705117008366257;16.1277799952698;2.36363636363636;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.36363636363636;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000116";4.37372599493953;0.656058899240987;0.0656058899240913;9.70239581358437;1.21279947669805;0.0757999672936279;3.11580774003328;0.389475967504159;0.02434224796901;11.7319149074037;0.371243423805544;0.0320894105388916;2.04632309588183;4.8759982556383;0.419672647240098;2.04108853866995;4.693342278697;"N";0.419672647240098;"N";-0.0088070098887573;0.0255619922554073;-0.00443975357947582;-0.00140186460145844;-0.0273702383418551;-0.0788612039852265;"A_to_I";10.9994253892035;146.199998265623;13.2916032513049;6.18572662308243;5.70058743706356;0.921571188709092;28.9238444559609;2.62957776724874;0.197837515725621;17.1919295485572;2.25833434344319;0.165748105186729;0.419672647240098;0.0316438899135948;0.00273522360093499;0.254405765367192;"IN";3.7098360829298;3.58002260740139;4.53718351100059;1.59398733518936;11.3541276150119;0.216601694832497;0.0964408318622779;0.686957473305225;16.5281375576027;2.45454545454545;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.45454545454545;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000117";4.64737611576429;0.697106417364721;0.0697106417364569;9.69378024454423;1.21172253056803;0.0757326581605018;3.24215966801685;0.405269958502106;0.0253293724063816;11.5518447455753;0.367784318826621;0.0317843239151939;2.09686386646666;4.87240843510598;0.430354699199402;2.00858021580327;4.50253234650496;"N";0.430354699199402;"N";-0.00921204616910296;0.0278150138581455;-0.00437612010693324;-0.00155441224310379;-0.0298407507946569;-0.0843903007424976;"A_to_I";10.8636947721913;143.836852430747;13.2401411717621;6.09681998537499;5.7409574839797;0.941631456685792;29.1351607739007;2.68188322526148;0.202556996218534;17.5833160283254;2.31409890643486;0.17077267230334;0.430354699199402;0.031837713103571;0.00275145005972904;0.26430601078191;"IN";4.04058119730929;3.89796602041053;4.94823617940023;1.69959186429502;11.3356935915794;0.230195956510162;0.100370083481917;0.669433960007921;16.933251476285;2.54545454545455;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.54545454545455;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000118";4.91571419368502;0.737357129052777;0.0737357129052758;9.684899949374;1.21061249367175;0.0756632808544844;3.36568493225967;0.420710616532459;0.0262944135332787;11.3679176522133;0.364075272466748;0.0314581591543452;2.14627397229493;4.86870831214152;0.440830264352165;1.97554627210046;4.32192133095871;"N";0.440830264352165;"N";-0.0095971476471097;0.0300961357875519;-0.00431344273837689;-0.00171087865707805;-0.0323176587004816;-0.089846680465869;"A_to_I";10.7342997211737;141.607506187904;13.1920581562092;6.01230568981324;5.77916203937586;0.96122225607517;29.334216727532;2.73275551172373;0.207151566447384;17.9662990753187;2.36868023925699;0.175693407293039;0.440830264352165;0.0320265578626764;0.00276727542517169;0.273607501081734;"IN";4.37593357703916;4.22018777165876;5.36585314694773;1.80592049226354;11.3167086925863;0.243339232734909;0.104130747432342;0.652530019832749;17.3428169565086;2.63636363636364;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.63636363636364;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"4000119";5.17906149952875;0.7768592249294;0.0776859224929251;9.67577063398229;1.20947132924779;0.0755919580779867;3.48655610542713;0.435819513178391;0.0272387195736495;11.1803334153849;0.360126738698992;0.0311117882790267;2.19462244126173;4.86490443068265;0.451113166256749;1.94201085833803;4.15047214403328;"N";0.451113166256749;"N";-0.00996393347265946;0.0324036903957753;-0.0042517354776544;-0.00187099588183124;-0.0347976633949473;-0.0952311911188955;"A_to_I";10.6106342798388;139.497927826363;13.1469923613729;5.93174990838765;5.81533158678971;0.980373696902944;29.5217216543231;2.78227680605457;0.211628388423588;18.3413882389382;2.42215006735558;0.180516600144561;0.451113166256749;0.0322107333761114;0.00278272455061266;0.282370201865842;"IN";4.71562783998943;4.54643383661618;5.78970474168925;1.91291856792212;11.2972078626071;0.256042486169371;0.107730243872827;0.636227269957802;17.7565602671454;2.72727272727273;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;2.72727272727273;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
